GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,United States,United States,57652,138
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,46472,301
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,76114,979
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,53510,259
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,43813,401
0100000US,,United States,0400000US06,06,United States - California,California,67169,192
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,65458,317
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,73781,450
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,63036,738
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,77649,1075
0100000US,,United States,0400000US12,12,United States - Florida,Florida,50883,140
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,52977,282
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,74923,736
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,50985,368
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,61229,190
0100000US,,United States,0400000US18,18,United States - Indiana,Indiana,52182,200
0100000US,,United States,0400000US19,19,United States - Iowa,Iowa,56570,303
0100000US,,United States,0400000US20,20,United States - Kansas,Kansas,55477,401
0100000US,,United States,0400000US21,21,United States - Kentucky,Kentucky,46535,288
0100000US,,United States,0400000US22,22,United States - Louisiana,Louisiana,46710,353
0100000US,,United States,0400000US23,23,United States - Maine,Maine,53024,513
0100000US,,United States,0400000US24,24,United States - Maryland,Maryland,78916,380
0100000US,,United States,0400000US25,25,United States - Massachusetts,Massachusetts,74167,380
0100000US,,United States,0400000US26,26,United States - Michigan,Michigan,52668,180
0100000US,,United States,0400000US27,27,United States - Minnesota,Minnesota,65699,249
0100000US,,United States,0400000US28,28,United States - Mississippi,Mississippi,42009,278
0100000US,,United States,0400000US29,29,United States - Missouri,Missouri,51542,215
0100000US,,United States,0400000US30,30,United States - Montana,Montana,50801,479
0100000US,,United States,0400000US31,31,United States - Nebraska,Nebraska,56675,392
0100000US,,United States,0400000US32,32,United States - Nevada,Nevada,55434,349
0100000US,,United States,0400000US33,33,United States - New Hampshire,New Hampshire,71305,733
0100000US,,United States,0400000US34,34,United States - New Jersey,New Jersey,76475,425
0100000US,,United States,0400000US35,35,United States - New Mexico,New Mexico,46718,408
0100000US,,United States,0400000US36,36,United States - New York,New York,62765,225
0100000US,,United States,0400000US37,37,United States - North Carolina,North Carolina,50320,204
0100000US,,United States,0400000US38,38,United States - North Dakota,North Dakota,61285,669
0100000US,,United States,0400000US39,39,United States - Ohio,Ohio,52407,153
0100000US,,United States,0400000US40,40,United States - Oklahoma,Oklahoma,49767,240
0100000US,,United States,0400000US41,41,United States - Oregon,Oregon,56119,370
0100000US,,United States,0400000US42,42,United States - Pennsylvania,Pennsylvania,56951,205
0100000US,,United States,0400000US44,44,United States - Rhode Island,Rhode Island,61043,763
0100000US,,United States,0400000US45,45,United States - South Carolina,South Carolina,48781,288
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,54126,531
0100000US,,United States,0400000US47,47,United States - Tennessee,Tennessee,48708,242
0100000US,,United States,0400000US48,48,United States - Texas,Texas,57051,183
0100000US,,United States,0400000US49,49,United States - Utah,Utah,65325,407
0100000US,,United States,0400000US50,50,United States - Vermont,Vermont,57808,741
0100000US,,United States,0400000US51,51,United States - Virginia,Virginia,68766,319
0100000US,,United States,0400000US53,53,United States - Washington,Washington,66174,272
0100000US,,United States,0400000US54,54,United States - West Virginia,West Virginia,44061,439
0100000US,,United States,0400000US55,55,United States - Wisconsin,Wisconsin,56759,213
0100000US,,United States,0400000US56,56,United States - Wyoming,Wyoming,60938,836
0100000US,,United States,0400000US72,72,United States - Puerto Rico,Puerto Rico,19775,176
